Mixture No.,Tc (K),Pc (kPa)
1,299,5322
2,302,8300
3,438,6612
4,386,7605
5,400,6405
6,391,8101
7,421,7156
8,416,7060
9,313,9232
10,354,7640
11,332,9720
12,324,5790
13,325,5480
14,311,10340
15,311,6890
16,306,4900
17,307,4930
18,308,4960
19,309,4960
20,397,5600
21,429,4190
22,436,3850
23,443,3900
24,449,3810
25,450,3880
26,228,6890
27,255,8960
28,313,8963
29,423,7412
30,406,5113
31,418,4506
32,199,5341
33,194,4932
34,197,5180
35,385,5620
36,387,7220
37,200,5456
38,376,6536
39,314,7846
40,201,5578
41,204,6584
42,183,5618
43,193,5829
44,198,6674
