Component,C30+,C25-C29,C20-C24,C16-C19,C13-C14-C15,C10-C11-C12,C7-C8-C9,C6,n-C5-i-C5,n-C4-i-C4,C3,C2,C1-CO2-N2
C30+,0,0,0,0,0,0,0,0,0,0,0,0,0.024
C25-C29,0,0,0,0,0,0,0,0,0,0,0,0,0.02
C20-C24,0,0,0,0,0,0,0,0,0,0,0,0,0.02
C16-C19,0,0,0,0,0,0,0,0,0,0,0,0,0.019
C13-C14-C15,0,0,0,0,0,0,0,0,0,0,0,0,0.015
C10-C11-C12,0,0,0,0,0,0,0,0,0,0,0,0,0.01
C7-C8-C9,0,0,0,0,0,0,0,0,0,0,0,0,0.009
C6,0,0,0,0,0,0,0,0,0,0,0,0,0
n-C5-i-C5,0,0,0,0,0,0,0,0,0,0,0,0,0
n-C4-i-C4,0,0,0,0,0,0,0,0,0,0,0,0,0
C3,0,0,0,0,0,0,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,0,0,0,0,0,0
C1-CO2-N2,0.024,0.02,0.02,0.019,0.015,0.01,0.009,0,0,0,0,0,0
